PEOPLE,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,RFM_Score
-1,2,610,1857729.2799999998,1,1,1,111
1,3,482,1623626.53,1,1,1,111
10-1683,426,2,1600.0,4,4,3,443
10-1946ชบ,193,2,800.0,3,4,3,343
10-2090ชบ,289,4,3800.0,3,3,2,332
10-2809ชบ,241,9,7400.0,3,2,2,322
10-6263ชบ,25,9,7000.0,1,2,2,122
10-6444ชบ,200,2,200.0,3,4,4,344
10-6505ชบ,269,13,10750.0,3,1,1,311
14-9628,228,2,100.0,3,4,4,344
15-0237,212,2,550.0,3,4,4,344
15-6362,303,4,6000.0,3,3,2,332
15-6561,274,3,550.0,3,4,4,344
15-6994,257,6,2900.0,3,2,2,322
15-7420,227,10,1295.0,3,2,3,323
15-7537,178,3,560.0,3,4,4,344
15-7689,186,2,1400.0,3,4,3,343
15-8005,278,4,260.0,3,3,4,334
15-8017,200,2,200.0,3,4,4,344
1ก0001,4,4,499.99,1,3,4,134
1ก0002,127,8,1080.3700000000001,2,2,3,223
1ก0003,134,20,2646.7200000000003,2,1,2,212
1ก0005,155,2,299.07,2,4,4,244
1กก-5079,188,8,5880.0,3,2,2,322
1กก-5598,197,2,1500.0,3,4,3,343
1กก-6127,324,9,3498.0,4,2,2,422
1กก-7314,355,2,1200.0,4,4,3,443
1กก-7424,411,9,12400.0,4,2,1,421
1กก-7469,341,4,128.0,4,3,4,434
1กข-2601,5,5,660.0,1,3,4,134
1กข-2898,252,2,1800.0,3,4,3,343
1กข-4363,18,8,3200.0,1,2,2,122
1กข-4505,329,2,0.0,4,4,4,444
1กข-7482,245,3,2500.0,3,4,2,342
1กค-2187,315,9,9800.0,4,2,1,421
1กค-2417,368,2,380.0,4,4,4,444
1กค-4873,28,18,11650.0,1,1,1,111
1กค-599,268,9,18000.0,3,2,1,321
1กค-7281,45,12,7540.0,1,1,2,112
1กค-7304,45,2,3000.0,1,4,2,142
1กค-7558,30,7,1360.0,1,2,3,123
1กค-7675,223,9,15000.0,3,2,1,321
1กค3285,286,2,230.0,3,4,4,344
1กฆ-1139,106,9,8000.0,2,2,2,222
1กฆ-1413,81,13,6170.0,2,1,2,212
1กฆ-4343,161,10,11448.0,2,2,1,221
1กฆ-4841,45,9,6000.0,1,2,2,122
1กฆ-5239,213,5,2250.0,3,3,3,333
1กฆ-7657,5,9,13960.0,1,2,1,121
1กฆ-9233,29,9,1720.0,1,2,3,123
1กง-2681,235,5,448.0,3,3,4,334
1กง-683กทม,26,4,200.0,1,3,4,134
1กง-8363,241,3,350.0,3,4,4,344
1กง-9428,187,5,1050.0,3,3,3,333
1กจ-1362กท,410,2,2000.0,4,4,3,443
1กจ-4752,265,2,3500.0,3,4,2,342
1กจ-4930,69,20,3370.0,2,1,2,212
1กฉ-374,400,9,8000.0,4,2,2,422
1กฉ-8570,23,17,16680.0,1,1,1,111
1กช-3702,408,2,1850.0,4,4,3,443
1กช-406,304,18,3800.0,4,1,2,412
1กช-4545,16,22,6220.0,1,1,2,112
1กช-4955,310,4,200.0,4,3,4,434
1กช-505,330,9,14000.0,4,2,1,421
1กช-7415,422,5,448.0,4,3,4,434
1กช-8322,154,10,21400.0,2,2,1,221
1กฌ-1711,345,2,200.0,4,4,4,444
1กฌ-3640,158,9,3220.0,2,2,2,222
1กฌ-3746,226,4,3500.0,3,3,2,332
1กฌ-5092,144,6,2120.0,2,2,3,223
1กฌ-6893,12,5,448.0,1,3,4,134
1กญ-1690,36,8,4120.0,1,2,2,122
1กญ-3192,68,10,1720.0,2,2,3,223
1กญ-6416,428,8,2130.0,4,2,3,423
1กญ-9350,297,2,1450.0,3,4,3,343
1กฎ-1073,413,5,720.0,4,3,3,433
1กฎ-1117,68,2,2100.0,2,4,3,243
1กฎ-1276,61,3,980.0,1,4,3,143
1กฎ-5072,209,20,7420.0,3,1,2,312
1กฎ-8132,308,5,4500.0,4,3,2,432
1กฎ-8244,121,16,2039.9999999999998,2,1,3,213
1กฎ-9050,71,2,1900.0,2,4,3,243
1กฐ-2439,53,2,400.0,1,4,4,144
1กฐ-5847,104,7,480.0,2,2,4,224
1กฐ-5980,285,2,200.0,3,4,4,344
1กฐ-6917,336,2,2800.0,4,4,2,442
1กฐ-7677,15,9,920.0,1,2,3,123
1กฐ-901กทม,121,2,300.0,2,4,4,244
1กฒ-2769,100,18,9930.0,2,1,1,211
1กฒ-4631,112,7,2820.0,2,2,2,222
1กฒ-623กทม,24,2,230.0,1,4,4,144
1กฒ-7571,198,5,660.0,3,3,4,334
1กฒ-8910,192,2,3450.0,3,4,2,342
1กฒ-9604,36,3,1900.0,1,4,3,143
1กณ-113,389,4,6200.0,4,3,2,432
1กณ-1922,266,5,2650.0,3,3,2,332
1กณ-2848,286,9,18000.0,3,2,1,321
1กณ-3185,387,11,1180.0,4,1,3,413
1กณ-3746,241,5,3700.0,3,3,2,332
1กณ-5617,135,2,230.0,2,4,4,244
1กณ-5935,50,7,9800.0,1,2,1,121
1กณ-6643,274,5,448.0,3,3,4,334
1กณ-7603,364,3,480.0,4,4,4,444
1กณ-8045,6,8,960.0,1,2,3,123
1กณ-9057,217,2,300.0,3,4,4,344
1กด-4330,279,3,1470.0,3,4,3,343
1กด-4573,24,7,800.0,1,2,3,123
1กด-8997,141,31,6188.0,2,1,2,212
1กด-9935,5,11,4810.0,1,1,2,112
1กต-1042,252,9,7200.0,3,2,2,322
1กต-1526,145,5,1480.0,2,3,3,233
1กต-2071,57,20,1004.37,1,1,3,113
1กต-3907,280,14,11530.0,3,1,1,311
1กต-5192,147,3,350.0,2,4,4,244
1กต-5339,140,9,3920.0,2,2,2,222
1กต-6535,389,4,1700.0,4,3,3,433
1กต-673,232,8,7520.000000000001,3,2,2,322
1กต-7498,409,3,1900.0,4,4,3,443
1กต-7597,404,12,1440.0,4,1,3,413
1กต-9351,128,2,300.0,2,4,4,244
1กต-9794,240,36,21418.0,3,1,1,311
1กถ-1228,8,14,12000.0,1,1,1,111
1กถ-5596,210,5,600.0,3,3,4,334
1กท-2562,203,5,660.0,3,3,4,334
1กท-3635,235,18,16050.0,3,1,1,311
1กท-3747,64,9,748.0,1,2,3,123
1กท-4505,105,6,256.0,2,2,4,224
1กท-6151,223,9,8000.0,3,2,2,322
1กธ-1517,404,9,15400.0,4,2,1,421
1กธ-2347,351,5,660.0,4,3,4,434
1กธ-3104,226,2,2900.0,3,4,2,342
1กธ-5646,355,13,17200.0,4,1,1,411
1กธ-7545,169,9,4700.0,2,2,2,222
1กธ-7545กท,410,7,16250.0,4,2,1,421
1กน-3635,91,30,13720.0,2,1,1,211
1กน-3782,427,5,660.0,4,3,4,434
1กน-5820,27,5,2650.0,1,3,2,132
1กน-7393,418,2,0.0,4,4,4,444
1กน-7820,187,13,5800.0,3,1,2,312
1กน-7884,276,4,430.0,3,3,4,334
1กบ-1621,40,9,920.0,1,2,3,123
1กบ-1899,356,9,9000.0,4,2,1,421
1กบ-2310,38,22,11838.0,1,1,1,111
1กบ-3621,51,2,230.0,1,4,4,144
1กบ-4649,363,2,1450.0,4,4,3,443
1กบ-4908,327,4,3300.0,4,3,2,432
1กบ-9148,43,23,7238.0,1,1,2,112
1กผ-2174,23,2,230.0,1,4,4,144
1กผ-4033,403,3,1900.0,4,4,3,443
1กผ-4921,285,9,7600.0,3,2,2,322
1กผ-7349,73,2,275.0,2,4,4,244
1กผ-7450,390,5,2650.0,4,3,2,432
1กผ-8941,264,9,7000.0,3,2,2,322
1กผ-9686,413,2,300.0,4,4,4,444
1กพ-5110,25,6,2750.0,1,2,2,122
1กพ-6230,249,7,7200.0,3,2,2,322
1กพ-8164,60,18,13250.0,1,1,1,111
1กพ-8278,310,2,1450.0,4,4,3,443
1กพ-9390,40,11,1170.0,1,1,3,113
1กพ-9603,140,3,2050.0,2,4,3,243
1กภ-4110,404,9,780.0,4,2,3,423
1กภ-6757,72,5,2366.95,2,3,3,233
1กม-3384,149,3,1470.0,2,4,3,243
1กม-4496,66,2,2250.0,1,4,3,143
1กม-5835,36,8,3250.0,1,2,2,122
1กม-7028,301,9,16000.0,3,2,1,321
1กม-7847,266,3,3450.0,3,4,2,342
1กม-9866,21,12,2690.0,1,1,2,112
1กย-1164,283,2,1450.0,3,4,3,343
1กย-3449,121,10,6150.0,2,2,2,222
1กย-3783,52,12,12864.0,1,1,1,111
1กย-4802,299,2,230.0,3,4,4,344
1กย-5261,138,2,9500.0,2,4,1,241
1กย-6219,187,10,17000.0,3,2,1,321
1กย-6317,22,12,2418.0,1,1,3,113
1กย-9368,272,4,2830.0,3,3,2,332
1กร-5483,185,5,1250.0,3,3,3,333
1กร-6546,309,2,230.0,4,4,4,444
1กร-6688,369,4,200.0,4,3,4,434
1กร-8200,107,2,1350.0,2,4,3,243
1กร-8901,191,4,200.0,3,3,4,334
1กร-9183,209,11,6600.0,3,1,2,312
1กร-923,21,21,16284.0,1,1,1,111
1กล-1128,84,27,22218.0,2,1,1,211
1กล-2400,9,21,8590.0,1,1,1,111
1กล-2472,244,9,6000.0,3,2,2,322
1กล-3230,272,5,660.0,3,3,4,334
1กล-3433,150,2,200.0,2,4,4,244
1กล-6386,252,5,448.0,3,3,4,334
1กล-7395,36,19,26000.0,1,1,1,111
1กว-3939,234,10,17600.0,3,2,1,321
1กว-4207,403,5,2650.0,4,3,2,432
1กว-4591,141,7,1460.0,2,2,3,223
1กว-4632,348,3,5900.0,4,4,2,442
1กว-5605,182,20,13979.6,3,1,1,311
1กว-566,96,18,13780.0,2,1,1,211
1กว-6943,418,5,2650.0,4,3,2,432
1กว-9011,409,9,21000.0,4,2,1,421
1กศ-2921,389,9,1520.0,4,2,3,423
1กศ-3305,58,20,11465.0,1,1,1,111
1กศ-4802,92,9,4280.0,2,2,2,222
1กศ-6036,22,2,1200.0,1,4,3,143
1กศ-9106,8,2,2100.0,1,4,3,143
1กษ-1961,19,5,5500.0,1,3,2,132
1กษ-3129,406,6,598.0,4,2,4,424
1กษ-3394,47,5,448.0,1,3,4,134
1กษ-4447,424,2,1350.0,4,4,3,443
1กษ-617กทม,288,9,21000.0,3,2,1,321
1กษ-6365,299,4,580.0,3,3,4,334
1กษ-7186,88,8,1918.0,2,2,3,223
1กษ-7633,211,8,1768.0,3,2,3,323
1กษ-9235,98,22,3296.0,2,1,2,212
1กส-1390,112,4,260.0,2,3,4,234
1กส-1460,357,3,0.0,4,4,4,444
1กส-3805,105,2,680.0,2,4,3,243
1กส-4965,273,6,430.0,3,2,4,324
1กส-5261,72,9,15000.0,2,2,1,221
1กส-5587,36,3,3500.0,1,4,2,142
1กส-7369,419,4,200.0,4,3,4,434
1กฬ-1314,100,3,300.0,2,4,4,244
1กฬ-2396,181,4,4800.0,3,3,2,332
1กฬ-3243,169,2,150.0,2,4,4,244
1กฬ-3458,105,9,7800.0,2,2,2,222
1กฬ-5248,39,8,24000.0,1,2,1,121
1กฬ-5595,67,6,1370.0,1,2,3,123
1กฬ-9286,390,6,810.0,4,2,3,423
1กอ-1540,414,2,370.0,4,4,4,444
1กอ-4669,37,5,860.0,1,3,3,133
1กอ-4786,104,2,230.0,2,4,4,244
1กอ-5005,259,4,3450.0,3,3,2,332
1กอ-5070,37,21,11568.0,1,1,1,111
1กอ-7283,48,2,160.0,1,4,4,144
1กอ-8603,209,13,16350.0,3,1,1,311
1กอ-8885,23,7,678.0,1,2,3,123
1กอ-9328,269,21,3930.0,3,1,2,312
1กฮ-2297,56,9,5500.0,1,2,2,122
1กฮ-3235 ,209,2,200.0,3,4,4,344
1กฮ-5361,49,4,200.0,1,3,4,134
1กฮ-6197,72,8,5070.0,2,2,2,222
1กฮ-6411,326,9,8800.0,4,2,1,421
1กฮ-8794,404,9,10400.0,4,2,1,421
1กฮ-9422,25,5,2650.0,1,3,2,132
1กฮ-9846,199,2,1900.0,3,4,3,343
1ค0006,143,6,36448.600000000006,2,2,1,221
1ฆณ-825,353,6,1650.0,4,2,3,423
1จ0001,150,52,87779.43000000001,2,1,1,211
1จ0002,360,4,8785.05,4,3,1,431
1ซ0004,246,2,299.06,3,4,4,344
1ฒก-1022,39,7,3650.0,1,2,2,122
1ฒก-4540,56,2,0.0,1,4,4,144
1ฒก-7349,312,19,36450.0,4,1,1,411
1ฒข-5989,424,5,660.0,4,3,4,434
1ฒข-9517,204,13,12020.0,3,1,1,311
1ฒค-2949,77,4,2250.0,2,3,3,233
1ฒค-5113,154,5,0.0,2,3,4,234
1ฒค-7186,200,2,200.0,3,4,4,344
1ฒค-8591,23,2,290.0,1,4,4,144
1ฒฆ-2208,118,3,1470.0,2,4,3,243
1ฒฆ-2664,39,3,1500.0,1,4,3,143
1ฒฆ-3480,181,10,11800.0,3,2,1,321
1ฒง-237,66,12,13620.0,1,1,1,111
1ฒง-4894,328,6,360.0,4,2,4,424
1ฒง-9902,42,2,2500.0,1,4,2,142
1ฒจ-3961,315,6,430.0,4,2,4,424
1ฒจ-3983,351,8,2130.0,4,2,3,423
1ฒจ-5506,62,9,12000.0,1,2,1,121
1ฒฉ-3604,352,2,300.0,4,4,4,444
1ฒฉ-3624,58,18,6820.0,1,1,2,112
1ฒฉ-5613,389,2,450.0,4,4,4,444
1ฒช-116,19,12,0.0,1,1,4,114
1ฒช-2210,23,15,14500.0,1,1,1,111
1ฒช-2968,234,6,5300.0,3,2,2,322
1ฒช-4745,400,5,2100.0,4,3,3,433
1ฒช-6032,275,18,10492.0,3,1,1,311
1ฒฌ-600,3,7,644.0,1,2,4,124
1ฒฌ-6205,60,2,1450.0,1,4,3,143
1ฒฌ-8384,153,3,560.0,2,4,4,244
1ฒญ-1062,261,10,4960.0,3,2,2,322
1ฒญ-1550,253,14,4590.0,3,1,2,312
1ฒญ-4420,51,14,6880.0,1,1,2,112
1ฒญ-4476,29,2,1500.0,1,4,3,143
1ฒฎ-9834,132,2,300.0,2,4,4,244
1ฒฐ-1840,118,8,520.0,2,2,4,224
1ฒฐ-460,150,19,10895.5,2,1,1,211
1ฒฐ-681,388,3,1470.0,4,4,3,443
1ฒฒ-2324,8,12,20280.0,1,1,1,111
1ฒฒ-784,401,3,1470.0,4,4,3,443
1ฒณ-1455,199,9,13000.0,3,2,1,321
1ฒณ-5046,106,5,400.0,2,3,4,234
1ฒณ-5182,114,5,3500.0,2,3,2,232
1ฒณ-5184,299,2,1250.0,3,4,3,343
1ฒณ-6205,298,2,570.0,3,4,4,344
1ฒณ-8520,37,2,1450.0,1,4,3,143
1ฒต-1904,63,9,648.0,1,2,4,124
1ฒต-2368,71,10,4210.0,2,2,2,222
1ฒต-3135,38,9,860.0,1,2,3,123
1ฒต-443กทม,335,7,7528.0,4,2,2,422
1ฒต-7202,130,3,2850.0,2,4,2,242
1ฒต-7275,115,6,1680.0,2,2,3,223
1ฒต-8533,62,36,50774.0,1,1,1,111
1ฒต-9985,403,4,200.0,4,3,4,434
1ฒถ-4810,16,12,0.0,1,1,4,114
1ฒถ-7349,18,3,4950.0,1,4,2,142
1ฒท-1646,42,4,0.0,1,3,4,134
1ฒท-323,420,2,1600.0,4,4,3,443
1ฒท-4349,20,2,2500.0,1,4,2,142
1ฒท-9673,62,13,13000.0,1,1,1,111
1ฒธ-5774,42,4,200.0,1,3,4,134
1ฒธ-9163,191,9,22900.0,3,2,1,321
1ฒน-5044,268,2,0.0,3,4,4,344
1ฒน-5231,38,2,1450.0,1,4,3,143
1ฒน-8021,113,3,2830.0,2,4,2,242
1ฒน-8362,409,2,200.0,4,4,4,444
1ฒบ-4107,129,19,24885.0,2,1,1,211
1ฒบ-5351,307,4,260.0,4,3,4,434
1ฒบ-6022,40,5,2460.0,1,3,2,132
1ฒผ-9565,161,16,44000.0,2,1,1,211
1ฒพ-2175,217,6,400.0,3,2,4,324
1ฒพ-4341,419,10,14400.0,4,2,1,421
1ฒพ-6653,234,3,3300.0,3,4,2,342
1ฒพ-7053,59,7,1250.0,1,2,3,123
1ฒพ-775,37,11,3320.0,1,1,2,112
1ฒภ-6656,245,7,2110.0,3,2,3,323
1ฒภ-8514,359,4,200.0,4,3,4,434
1ฒย-2018,90,7,2410.0,2,2,3,223
1ฒร-5774,336,5,660.0,4,3,4,434
1ฒร-6670,276,2,2250.0,3,4,3,343
1ฒร-7426,310,2,130.0,4,4,4,444
1ฒร-7983,251,5,2040.0,3,3,3,333
1ฒร-8195,340,2,200.0,4,4,4,444
1ฒร-975,428,2,720.0,4,4,3,443
1ฒล-1567,101,7,480.0,2,2,4,224
1ฒล-1570,24,4,5650.0,1,3,2,132
1ฒล-1752,52,9,9000.0,1,2,1,121
1ฒล-3217,187,2,1070.0,3,4,3,343
1ฒล-4522,126,5,1000.0,2,3,3,233
1ฒล-506,108,10,1210.0,2,2,3,223
1ฒล-8138,41,7,3690.0,1,2,2,122
1ฒว-1776,37,15,3748.0,1,1,2,112
1ฒว-3617,343,2,1450.0,4,4,3,443
1ฒว-4241,177,9,860.0,3,2,3,323
1ฒว-8320,67,3,450.0,1,4,4,144
1ฒว-8990,117,2,1050.0,2,4,3,243
1ฒว-981,246,6,1560.0,3,2,3,323
1ฒศ-9031,222,9,8000.0,3,2,2,322
1ฒษ-4211,312,4,0.0,4,3,4,434
1ฒษ-6199,245,6,430.0,3,2,4,324
1ฒษ-6406,62,15,9000.0,1,1,1,111
1ฒส-1017,62,4,1650.0,1,3,3,133
1ฒส-1547,278,13,4380.0,3,1,2,312
1ฒส-4151,274,3,2150.0,3,4,3,343
1ฒห-2524,118,6,400.0,2,2,4,224
1ฒห-4921,7,3,3400.0,1,4,2,142
1ฒห-6560,75,30,15480.0,2,1,1,211
1ฒฬ-3597,3,12,0.0,1,1,4,114
1ฒฬ-39,38,9,12000.0,1,2,1,121
1ฒอ-3152,104,2,2850.0,2,4,2,242
1ฒอ-3809,67,10,11580.0,1,2,1,121
1ฒอ-5928,62,4,200.0,1,3,4,134
1ฒฮ-2164,426,2,1450.0,4,4,3,443
1ฒฮ-4561,332,2,300.0,4,4,4,444
1ท-6825,208,3,280.0,3,4,4,344
1ท0001,36,20,53233.64,1,1,1,111
1ท0003,14,180,193372.71,1,1,1,111
1บ0001,259,2,550.47,3,4,4,344
1ป0001,0,3,328.97,1,4,4,144
1พ0005,242,41,28711.22,3,1,1,311
1ฟ0002,0,17,28442.989999999998,1,1,1,111
1ฟ0004,236,4,5977.570000000001,3,3,2,332
1มส-102,314,4,7700.0,4,3,2,432
1ศ-3407,194,11,11600.0,3,1,1,311
1ศ0001,25,10,23664.18,1,2,1,121
1ส0002,71,4,598.12,2,3,4,234
1ส0003,215,5,2600.0,3,3,2,332
1อ0003,5,12,12738.310000000003,1,1,1,111
1อ0009,50,9,22740.190000000002,1,2,1,121
1อ0011,24,24,18981.300000000003,1,1,1,111
1อ0012,84,3,1469.16,2,4,3,243
1อ0015,219,18,19433.65,3,1,1,311
2Rก-480,133,2,230.0,2,4,4,244
2ก-7239,44,4,1500.0,1,3,3,133
2กก-3620,91,5,2290.0,2,3,3,233
2กก-5390,351,9,21000.0,4,2,1,421
2กก-5417,126,9,4600.0,2,2,2,222
2กก-6306,15,7,4000.0,1,2,2,122
2กก-6836,98,2,2200.0,2,4,3,243
2กก-8702,138,6,7500.0,2,2,2,222
2กข-1640,43,9,3600.0,1,2,2,122
2กข-1849,95,2,230.0,2,4,4,244
2กข-2055,48,7,9300.0,1,2,1,121
2กข-2605,427,3,280.0,4,4,4,444
2กข-4439,243,18,2338.0,3,1,3,313
2กข-5021,71,5,660.0,2,3,4,234
2กข-6484,77,16,7925.0,2,1,2,212
2กข-8601,43,4,5700.0,1,3,2,132
2กข-8879,329,8,2648.0,4,2,2,422
2กข-9525,281,6,5000.0,3,2,2,322
2กค-3586,136,28,12142.0,2,1,1,211
2กค-3858,71,10,1070.0,2,2,3,223
2กค-4746,38,13,8240.0,1,1,2,112
2กค-4872,180,4,230.0,3,3,4,334
2กค-6640,176,15,22580.0,3,1,1,311
2กค-8243,191,5,660.0,3,3,4,334
2กค-9530,425,5,660.0,4,3,4,434
2กค-9604,59,6,400.0,1,2,4,124
2กฆ-1334,403,2,1000.0,4,4,3,443
2กฆ-1765,408,5,1100.0,4,3,3,433
2กฆ-4089,30,15,9280.0,1,1,1,111
2กฆ-5367,138,11,24700.0,2,1,1,211
2กฆ-5589,154,3,3000.0,2,4,2,242
2กฆ-6205,318,2,230.0,4,4,4,444
2กง-2105,55,9,2168.0,1,2,3,123
2กง-5567,64,16,22820.0,1,1,1,111
2กง-6155,100,2,230.0,2,4,4,244
2กง-8260,63,7,1520.0,1,2,3,123
2กจ-1006,309,5,660.0,4,3,4,434
2กจ-2570,68,3,2100.0,2,4,3,243
2กจ-2654,378,14,12000.0,4,1,1,411
2กจ-5968,140,9,9760.0,2,2,1,221
2กจ-7083,144,11,20800.0,2,1,1,211
2กจ-7469,289,9,4670.0,3,2,2,322
2กจ-7946,371,5,350.0,4,3,4,434
2กจ-8092,251,2,650.0,3,4,4,344
2กจ-8983,129,4,2250.0,2,3,3,233
2กจ-9100,179,4,1850.0,3,3,3,333
2กฉ-2504,217,16,8150.0,3,1,2,312
2กฉ-3947,171,20,9356.170000000002,2,1,1,211
2กฉ-406,209,3,2000.0,3,4,3,343
2กฉ-6301,37,25,21692.0,1,1,1,111
2กฉ-8448,84,2,5000.0,2,4,2,242
2กช-2605,73,7,2450.0,2,2,2,222
2กช-4021,401,5,720.0,4,3,3,433
2กช-5077,181,9,18400.0,3,2,1,321
2กช-561กทม,31,9,10000.0,1,2,1,121
2กช-8450,91,4,1360.0,2,3,3,233
2กฌ-2082,222,8,2930.0,3,2,2,322
2กฌ-2107,141,5,278.0,2,3,4,234
2กฌ-2600,210,5,3950.0,3,3,2,332
2กฌ-2679,184,2,2950.0,3,4,2,342
2กฌ-5300,12,3,1300.0,1,4,3,143
2กฌ-5425,259,2,230.0,3,4,4,344
2กญ-3720,211,5,2880.0,3,3,2,332
2กญ-3826,98,5,660.0,2,3,4,234
2กญ-7712,103,4,7700.0,2,3,2,232
2กฎ-2297,404,9,22000.0,4,2,1,421
2กฎ-4561,38,3,1850.0,1,4,3,143
2กฐ-1006,182,11,2680.0,3,1,2,312
2กฐ-1038,158,3,3500.0,2,4,2,242
2กฐ-5066,307,7,2110.0,4,2,3,423
2กฐ-5112,302,9,920.0,3,2,3,323
2กฐ-6563,94,5,660.0,2,3,4,234
2กฐ-7001,193,7,2530.0,3,2,2,322
2กฐ-7569,291,4,3900.0,3,3,2,332
2กฐ-7744,208,4,300.0,3,3,4,334
2กฐ-9962,1,13,4040.0,1,1,2,112
2กฒ-2036,31,13,62000.0,1,1,1,111
2กฒ-3699,428,8,2000.0,4,2,3,423
2กฒ-5203,286,2,3400.0,3,4,2,342
2กฒ-7029,233,10,12450.0,3,2,1,321
2กฒ-8113,5,2,200.0,1,4,4,144
2กฒ-8479,109,3,2800.0,2,4,2,242
2กฒ-8539,14,5,2103.17,1,3,3,133
2กณ-1237,37,15,10240.0,1,1,1,111
2กณ-1438,63,2,250.0,1,4,4,144
2กณ-1871,40,3,1900.0,1,4,3,143
2กณ-2168,216,2,230.0,3,4,4,344
2กณ-2280,297,7,3450.0,3,2,2,322
2กณ-4975,274,4,800.0,3,3,3,333
2กณ-6251,51,3,280.0,1,4,4,144
2กณ-7992,180,4,200.0,3,3,4,334
2กด-3114,113,5,4200.0,2,3,2,232
2กด-3219,312,5,448.0,4,3,4,434
2กด-3591,253,2,300.0,3,4,4,344
2กด-4330,254,5,2300.0,3,3,3,333
2กด-5010,175,6,630.0,2,2,4,224
2กด-6580,353,2,660.0,4,4,4,444
2กด-6662,137,2,2350.0,2,4,3,243
2กด-6721,407,5,5700.0,4,3,2,432
2กด-8121,297,9,860.0,3,2,3,323
2กด-9104,217,9,22000.0,3,2,1,321
2กด-9116,257,4,1000.0,3,3,3,333
2กต-2293,278,4,0.0,3,3,4,334
2กต-3162,4,4,0.0,1,3,4,134
2กต-5494,93,3,1470.0,2,4,3,243
2กต-6360,175,14,1096.0,2,1,3,213
2กต-6604,406,7,980.0,4,2,3,423
2กต-6973,131,9,4085.0,2,2,2,222
2กต-8307,222,2,230.0,3,4,4,344
2กต-9116,369,5,660.0,4,3,4,434
2กต6360กทม,291,10,9050.0,3,2,1,321
2กถ-1186,358,7,2760.0,4,2,2,422
2กถ-1196,56,2,400.0,1,4,4,144
2กถ-6560,194,5,2650.0,3,3,2,332
2กถ-7598,224,3,800.0,3,4,3,343
2กถ-9253,22,30,24880.0,1,1,1,111
2กท-1088,345,14,24000.0,4,1,1,411
2กท-1593,402,9,15400.0,4,2,1,421
2กท-2410,44,3,380.0,1,4,4,144
2กท-3249,62,21,11690.0,1,1,1,111
2กท-3320,227,5,2650.0,3,3,2,332
2กท-3634,311,2,230.0,4,4,4,444
2กท-7517,15,3,750.0,1,4,3,143
2กธ-2548,303,3,275.0,3,4,4,344
2กธ-2862,91,10,800.0,2,2,3,223
2กธ-3399,42,2,250.0,1,4,4,144
2กธ-3406,336,4,200.0,4,3,4,434
2กธ-3914,341,7,2460.0,4,2,2,422
2กธ-4793,231,2,1750.0,3,4,3,343
2กธ-5470,386,4,400.0,4,3,4,434
2กธ-6870,221,13,9400.0,3,1,1,311
2กธ-7508,95,2,230.0,2,4,4,244
2กธ-9491,305,6,630.0,4,2,4,424
2กบ-4333,2,5,350.0,1,3,4,134
2กบ-4881,427,2,1850.0,4,4,3,443
2กบ-7458,53,3,264.0,1,4,4,144
2กบ-7738,216,8,5470.0,3,2,2,322
2กบ-9264,354,9,7400.0,4,2,2,422
2กบ-9715,268,13,1520.0,3,1,3,313
2กผ-1901,60,26,26050.0,1,1,1,111
2กผ-3215,304,4,200.0,4,3,4,434
2กผ-7866,151,13,16470.0,2,1,1,211
2กผ-7915,143,4,200.0,2,3,4,234
2กพ-1307,216,9,2098.0,3,2,3,323
2กพ-2049,68,12,20500.0,2,1,1,211
2กพ-4114,7,2,300.0,1,4,4,144
2กพ-4457,103,2,300.0,2,4,4,244
2กพ-6657,172,7,1070.0,2,2,3,223
2กพ-729,100,15,4430.0,2,1,2,212
2กพ-7582,209,4,1600.0,3,3,3,333
2กพ-7863,390,6,498.0,4,2,4,424
2กพ-8520,187,4,200.0,3,3,4,334
2กพ-9526,131,3,280.0,2,4,4,244
2กภ-1182,327,9,8810.0,4,2,1,421
2กภ-1679,80,2,1900.0,2,4,3,243
2กภ-3871,205,12,13900.0,3,1,1,311
2กภ-4047,336,2,230.0,4,4,4,444
2กภ-4502,146,6,4000.0,2,2,2,222
2กภ-453,354,2,250.0,4,4,4,444
2กภ-6504,77,8,2048.0,2,2,3,223
2กภ-6512,56,5,2000.0,1,3,3,133
2กภ-7055,190,6,10750.0,3,2,1,321
2กภ-8146,402,4,1980.0,4,3,3,433
2กภ-841,331,9,648.0,4,2,4,424
2กภ-8492,191,2,2050.0,3,4,3,343
2กภ-8942,43,9,15000.0,1,2,1,121
2กภ-9057,406,6,2800.0,4,2,2,422
2กม-1633,134,12,28070.0,2,1,1,211
2กม-5695,65,4,530.0,1,3,4,134
2กม-6553,223,5,660.0,3,3,4,334
2กม-8949,86,2,1000.0,2,4,3,243
2กย-2300,421,4,1920.0,4,3,3,433
2กย-7057,218,15,2028.0,3,1,3,313
2กย-7084,245,10,12120.0,3,2,1,321
2กย-8859,246,5,920.0,3,3,3,333
2กร-3731,168,7,1600.0,2,2,3,223
2กร-3914,43,18,12648.0,1,1,1,111
2กร-4990,8,9,920.0,1,2,3,123
2กร-5474,145,9,11000.0,2,2,1,221
2กร-8060,288,2,1450.0,3,4,3,343
2กร-9196,106,2,200.0,2,4,4,244
2กร-9451,1,2,1450.0,1,4,3,143
2กล-4680,367,7,20800.0,4,2,1,421
2กล-6682,68,16,2946.0,2,1,2,212
