PEOPLE,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,RFM_Score
ณฉ-3763,36,9,19000.0,1,2,1,121
ณฉ-8818,371,9,8800.0,4,2,1,421
ณฉ-8917,129,2,250.0,2,4,4,244
ณต-3894,337,16,1240.0,4,1,3,413
ณต-5442กทม,311,2,1450.0,4,4,3,443
ณต-5939,119,10,13000.0,2,2,1,221
ณธ-3140,37,11,6400.0,1,1,2,112
ณธ-5518,177,10,7000.0,3,2,2,322
ณน-7888,331,3,1390.0,4,4,3,443
ณบ-8362กทม,196,5,448.0,3,3,4,334
ณพ-8465,260,2,1200.0,3,4,3,343
ณย-1161,137,12,5290.0,2,1,2,212
ณย-5566,140,4,600.0,2,3,4,234
ณย-715,408,9,13000.0,4,2,1,421
ณย-7616,3,6,8700.0,1,2,1,121
ณร-533 กทม,5,10,4870.0,1,2,2,122
ณล-3276,133,24,9839.18,2,1,1,211
ณล-4289,339,3,3350.0,4,4,2,442
ณว-2936,39,4,5000.0,1,3,2,132
ณว-5406,5,3,2750.0,1,4,2,142
ณห-1761,122,3,740.0,2,4,3,243
ณฬ-7795,207,2,230.0,3,4,4,344
ณฮ-7064,191,12,5298.0,3,1,2,312
ด-001,0,3736,7939357.63,1,1,1,111
ด-002,16,32,60610.020000000004,1,1,1,111
ด-003,0,113,228909.36000000002,1,1,1,111
ด-004,278,3,3500.0,3,4,2,342
ด-007,0,1266,2030953.4299999997,1,1,1,111
ด-008,22,48,62977.56,1,1,1,111
ด-017,12,39,37829.909999999996,1,1,1,111
ด-018,419,4,25233.64,4,3,1,431
ด-025,22,24,42429.9,1,1,1,111
ด-046,4,71,64787.48,1,1,1,111
ด-048,157,8,21308.41,2,2,1,221
ด-052,413,8,1084.11,4,2,3,423
ด-065,193,5,411.21,3,3,4,334
ด-067,426,4,8037.38,4,3,2,432
ด-068,415,5,661.6800000000001,4,3,3,433
ด-069,388,4,13046.73,4,3,1,431
ด-071,355,4,10654.21,4,3,1,431
ด-072,281,3,3500.0,3,4,2,342
ด-073,269,4,508.41999999999996,3,3,4,334
ด-074,127,2,200.93,2,4,4,244
ด-075,117,2,299.07,2,4,4,244
ด-076,39,4,758.88,1,3,3,133
ด-077,38,3,1900.93,1,4,3,143
ด-078,9,4,12149.53,1,3,1,131
ด-105,7,14,79327.37000000002,1,1,1,111
ต-001,9,861,2263835.46,1,1,1,111
ต-003,256,2,10920.0,3,4,1,341
ต-004,1264,4,48800.0,4,3,1,431
ต-005,9,1008,134684.0,1,1,1,111
ต-006,305,8,4518.69,4,2,2,422
ต-011,38,3,4592.52,1,4,2,142
ต-018,9,977,827354.77,1,1,1,111
ต-025,47,4,8411.21,1,3,2,132
ตข-3876,58,2,300.0,1,4,4,144
ตข-6011,86,7,7470.0,2,2,2,222
ตข-7957,426,13,11600.0,4,1,1,411
ตข-8861,216,2,160.0,3,4,4,344
ตค-5395,185,5,6000.0,3,3,2,332
ตค-674,324,7,2110.0,4,2,3,423
ตค-8162,118,4,6000.0,2,3,2,232
ตง-2048,70,9,6030.0,2,2,2,222
ตจ-5854,125,8,3900.0,2,2,2,222
ตจ-9142,37,9,5000.0,1,2,2,122
ตฉ-8558,73,3,400.0,2,4,4,244
ตช-2608,102,5,3200.0,2,3,2,232
ตช-3654,401,6,2920.0,4,2,2,422
ตช-5708,369,2,1450.0,4,4,3,443
ตช-7012,328,7,760.0,4,2,3,423
ตช-8033,364,8,9300.0,4,2,1,421
ตฎ-6070,22,7,4500.0,1,2,2,122
ตฐ-9318,81,12,10000.0,2,1,1,211
ตณ-8013กทม,96,5,560.0,2,3,4,234
ตต-7140,55,17,13970.0,1,1,1,111
ตต-8841,42,5,660.0,1,3,4,134
ตถ-1789,65,42,18229.999999999996,1,1,1,111
ตถ-2831,42,29,23300.59,1,1,1,111
ตท-6299,49,13,3578.0,1,1,2,112
ตท-730,384,7,980.0,4,2,3,423
ตธ-431,38,5,3350.0,1,3,2,132
ตธ-8773,298,2,250.0,3,4,4,344
ตน-337,319,9,8000.0,4,2,2,422
ตพ-4012,53,18,16050.0,1,1,1,111
ตม-8096กทม,343,18,21980.0,4,1,1,411
ตย-4739,154,17,730.0,2,1,3,213
ตย-7455,362,3,1890.0,4,4,3,443
ตย-9048,428,4,5700.0,4,3,2,432
ตร-1286,45,8,6600.0,1,2,2,122
ตล-9081,425,9,648.0,4,2,4,424
ตว-3383,37,2,1450.0,1,4,3,143
ตว-9169,324,2,240.0,4,4,4,444
ตศ-3965,40,5,660.0,1,3,4,134
ตส-2306,361,7,8650.0,4,2,1,421
ตส-5297,21,11,17390.0,1,1,1,111
ตส-7972,22,3,250.0,1,4,4,144
ตห-5494,81,17,7352.67,2,1,2,212
ตห-8130,45,14,5360.0,1,1,2,112
ตฬ-7232,301,5,660.0,3,3,4,334
ตฮ-1109,266,2,230.0,3,4,4,344
ตฮ-4666,299,8,3500.0,3,2,2,322
ถ-002,160,4,36448.6,2,3,1,231
ถก-339,304,5,660.0,4,3,4,434
ถก-9303,213,3,1370.0,3,4,3,343
ถข-4042,42,8,5300.0,1,2,2,122
ถข-5164,330,4,1200.0,4,3,3,433
ถข-6365กทม,246,9,9236.0,3,2,1,321
ถข-8031,334,7,3200.0,4,2,2,422
ถข-9017,412,10,4760.0,4,2,2,422
ถข-9244,36,10,5700.0,1,2,2,122
ถค-4200,326,2,170.0,4,4,4,444
ถค-9135,200,2,300.0,3,4,4,344
ถค-9481,196,10,1760.0,3,2,3,323
ถง-1997,92,4,1350.0,2,3,3,233
ถง-1997กทม,287,2,1450.0,3,4,3,343
ถง-3103,102,2,900.0,2,4,3,243
ถง-6194กทม,244,4,2720.0,3,3,2,332
ถฉ-2048,129,3,1470.0,2,4,3,243
ถฉ-6799,342,7,8650.0,4,2,1,421
ถฉ-9665,261,8,630.0,3,2,4,324
ถช-2901,187,14,3950.0,3,1,2,312
ถช-4350,16,23,8167.419999999999,1,1,2,112
ถช-8882กทม,192,6,5950.0,3,2,2,322
ถณ-7421,184,12,5500.0,3,1,2,312
ถด-6379,92,4,4400.0,2,3,2,232
ถต-2196,88,11,11400.0,2,1,1,211
ถต-2458,1,7,760.0,1,2,3,123
ถต-8408,67,2,1450.0,1,4,3,143
ถถ-1100,23,10,6700.0,1,2,2,122
ถถ-2027,403,4,1620.0,4,3,3,433
ถถ-4095,179,9,11400.0,3,2,1,321
ถท-1221,242,11,9490.0,3,1,1,311
ถท-2718,98,10,1560.0,2,2,3,223
ถท-2718กทม,371,13,23450.0,4,1,1,411
ถท-757,166,10,12850.0,2,2,1,221
ถธ-4417,412,2,14000.0,4,4,1,441
ถธ-8049,265,36,13640.0,3,1,1,311
ถธ-9005,309,3,1850.0,4,4,3,443
ถธ-9094,113,10,1128.0,2,2,3,223
ถน-8915,325,8,1800.0,4,2,3,423
ถบ-1036,106,2,250.0,2,4,4,244
ถบ-5731,329,6,2640.0,4,2,2,422
ถพ-1036,112,3,1100.0,2,4,3,243
ถพ-2271,353,6,810.0,4,2,3,423
ถพ-420,19,20,15868.0,1,1,1,111
ถพ-6305กทม,286,12,4760.0,3,1,2,312
ถพ-7776กทม,41,6,3320.0,1,2,2,122
ถม-4685,403,2,2000.0,4,4,3,443
ถม-5760,209,16,11350.0,3,1,1,311
ถม-6709,409,6,9950.0,4,2,1,421
ถม-8269,154,8,1300.0,2,2,3,223
ถย-2251,50,3,550.0,1,4,4,144
ถล-3913,85,14,12128.0,2,1,1,211
ถล-4156,405,3,560.0,4,4,4,444
ถว-7876กทม,309,13,9842.0,4,1,1,411
ถศ-8185กทม,25,28,7150.0,1,1,2,112
ถษ-4270,308,5,860.0,4,3,3,433
ถษ-4270กทม,345,2,1450.0,4,4,3,443
ถษ-8382,129,10,3900.0,2,2,2,222
ถษ-8647,234,16,12570.0,3,1,1,311
ถษ-9284,47,2,230.0,1,4,4,144
ถษ-9416กทม,401,6,1560.0,4,2,3,423
ถส-1668,18,3,3680.0,1,4,2,142
ถส-2503,182,2,230.0,3,4,4,344
ถส-3576,14,5,2100.0,1,3,3,133
ถส-3975,300,3,1470.0,3,4,3,343
ถส-7747,7,9,19000.0,1,2,1,121
ถฬ-2273,116,3,1830.0,2,4,3,243
ถฬ-3559,262,42,33712.21,3,1,1,311
ถฬ-4703,93,7,860.0,2,2,3,223
ถฬ-4857,169,2,4000.0,2,4,2,242
ถฬ-5205,284,3,1750.0,3,4,3,343
ถอ-1759กทม,96,10,12500.0,2,2,1,221
ถอ-6959,204,7,3020.0,3,2,2,322
ถอ-7596,350,6,6540.0,4,2,2,422
ถอ-7596กทม,271,2,900.0,3,4,3,343
ถอ-8068,354,13,4613.52,4,1,2,412
ถอ-8633,302,5,660.0,3,3,4,334
ถฮ-1547,0,14,11230.0,1,1,1,111
ถฮ-8265,37,4,200.0,1,3,4,134
ท-003,36,81,50407.58,1,1,1,111
ท-004,145,4,10280.37,2,3,1,231
ท-006,16,25,13462.4,1,1,1,111
ท-008,131,10,7850.47,2,2,2,222
ท-010,99,22,19531.779999999995,2,1,1,211
ท-014,190,80,41539.22,3,1,1,311
ท-016,11,29,43406.54,1,1,1,111
ท-018,30,53,22875.71,1,1,1,111
ท-021,70,57,43500.95,2,1,1,211
ท-022,51,40,53596.64,1,1,1,111
ท-023,9,6,22585.82,1,2,1,121
ท-024,71,2,15526.16,2,4,1,241
ท-027,313,2,3037.3900000000003,4,4,2,442
ท-030,29,19,39170.09,1,1,1,111
ท-032,39,3,350.46,1,4,4,144
ท-033,28,14,15317.74,1,1,1,111
ท-034,151,3,448.59000000000003,2,4,4,244
ท-043,99,5,3120.57,2,3,2,232
ท-045,36,7,17745.789999999997,1,2,1,121
ท-047,165,38,15290.649999999998,2,1,1,211
ท-049,80,2,299.06,2,4,4,244
ท-052,667,2,24000.0,4,4,1,441
ท-054,98,11,21601.879999999997,2,1,1,211
ท-062,89,4,11028.04,2,3,1,231
ท-069,88,35,47598.12999999999,2,1,1,211
ท-070,285,3,28476.629999999997,3,4,1,341
ท-071,1,24,14292.509999999998,1,1,1,111
ท-077,86,14,9220.939999999999,2,1,1,211
ท-079,333,8,10915.889999999998,4,2,1,421
ท-086,0,3,448.6,1,4,4,144
ท-089,173,11,15612.15,2,1,1,211
ท-096,92,3,172.9,2,4,4,244
ท-097,312,3,1750.0,4,4,3,443
ท-109,141,3,448.59000000000003,2,4,4,244
ท-112,60,4,528.03,1,3,4,134
ท-122,15,22,11299.07,1,1,1,111
ท-128,75,13,17420.550000000003,2,1,1,211
ท-129,102,14,34459.630000000005,2,1,1,211
ท-142,257,4,12990.65,3,3,1,331
ท-146,79,11,16708.78,2,1,1,211
ท-154,95,6,5051.4,2,2,2,222
ท-158,8,26,45920.56,1,1,1,111
ท-165,19,2,1450.47,1,4,3,143
ท-167,137,6,434.58000000000004,2,2,4,224
ท-179,418,9,5440.1900000000005,4,2,2,422
ท-180,8,18,15153.640000000001,1,1,1,111
ท-250,414,2,329.90999999999997,4,4,4,444
ท-251,93,16,13122.43,2,1,1,211
ท-252,336,4,7121.5,4,3,2,432
ท-253,358,2,228.97,4,4,4,444
ท-254,339,4,14018.69,4,3,1,431
ท-255,301,4,13271.03,3,3,1,331
ท-256,260,4,10841.12,3,3,1,331
ท-257,215,4,14953.27,3,3,1,331
ท-258,191,5,1198.13,3,3,3,333
ท-259,119,16,42056.07000000001,2,1,1,211
ท-2595,307,2,350.0,4,4,4,444
ท-260,92,3,1150.47,2,4,3,243
ท-263,114,7,3250.4700000000003,2,2,2,222
ท-264,94,2,7196.26,2,4,2,242
ท-266,46,2,228.97,1,4,4,144
ท-4316,307,8,1400.0,4,2,3,423
ทว-9085,101,4,460.0,2,3,4,234
ทศ-850,299,2,1870.0,3,4,3,343
ทษ-4185,364,6,2300.0,4,2,3,423
ธ-003,24,8,7069.36,1,2,2,122
ธ-011,125,3,1080.37,2,4,3,243
ธ-050,16,4,8037.38,1,3,2,132
ธ-159,428,2,228.97,4,4,4,444
ธ-160,426,4,11214.95,4,3,1,431
ธ-161,406,4,7850.47,4,3,2,432
ธ-162,264,4,13271.03,3,3,1,331
ธ-163,233,4,9121.5,3,3,1,331
ธ-164,161,4,9121.5,2,3,1,231
ธ-166,150,10,7438.32,2,2,2,222
